trip_id,pickup_datetime,dropoff_datetime,pickup_borough,dropoff_borough,passenger_count,trip_distance_miles,fare_amount,tip_amount,total_amount,payment_type,trip_year,trip_month
TRIP_000018,2023-08-06 17:20:19,2023-08-06 17:50:19,Queens,Staten Island,2,22.71,61.54,1.29,63.33,Dispute,2023,8
TRIP_000019,2023-06-26 10:13:43,2023-06-26 10:18:43,Queens,Queens,6,4.74,15.16,2.99,18.65,Dispute,2023,6
TRIP_000020,2023-06-17 07:40:20,2023-06-17 08:01:20,Brooklyn,Staten Island,4,5.14,17.34,3.44,21.28,No Charge,2023,6
TRIP_000021,2023-10-22 08:45:36,2023-10-22 10:00:36,Brooklyn,Queens,2,14.12,42.41,3.05,45.96,Cash,2023,10
TRIP_000022,2023-02-04 20:49:56,2023-02-04 21:52:56,Brooklyn,Bronx,4,23.44,63.0,8.48,71.98,Dispute,2023,2
TRIP_000023,2023-09-17 10:39:19,2023-09-17 10:58:19,Bronx,Manhattan,3,18.14,52.39,9.7,62.59,Cash,2023,9
TRIP_000024,2023-10-07 10:51:26,2023-10-07 11:16:26,Queens,Queens,4,18.04,50.94,11.04,62.48,No Charge,2023,10
TRIP_000025,2023-01-28 10:07:27,2023-01-28 11:31:27,Queens,Bronx,1,1.67,8.28,0.48,9.26,Cash,2023,1
TRIP_000026,2023-08-08 07:01:01,2023-08-08 08:19:01,Staten Island,Staten Island,1,12.05,36.15,8.18,44.83,Dispute,2023,8
TRIP_000027,2023-09-02 07:30:54,2023-09-02 08:12:54,Bronx,Brooklyn,5,8.75,28.1,3.27,31.87,Cash,2023,9
TRIP_000028,2023-11-04 03:00:44,2023-11-04 03:57:44,Bronx,Manhattan,5,8.13,26.72,4.36,31.58,Credit Card,2023,11
TRIP_000029,2023-02-09 17:15:08,2023-02-09 17:24:08,Queens,Queens,2,3.65,14.06,1.01,15.57,No Charge,2023,2
TRIP_000030,2023-10-14 08:23:21,2023-10-14 09:22:21,Manhattan,Brooklyn,5,6.49,19.42,5.08,25.0,No Charge,2023,10
TRIP_000031,2023-05-24 10:52:49,2023-05-24 12:14:49,Bronx,Queens,1,2.43,13.25,1.58,15.33,Credit Card,2023,5
TRIP_000032,2023-08-14 00:06:58,2023-08-14 00:32:58,Brooklyn,Staten Island,2,19.16,50.75,9.97,61.22,Credit Card,2023,8
TRIP_000033,2023-12-11 03:54:22,2023-12-11 04:09:22,Queens,Bronx,1,9.03,28.27,2.68,31.45,No Charge,2023,12
TRIP_000034,2023-06-29 05:36:06,2023-06-29 06:43:06,Queens,Brooklyn,1,16.54,46.84,1.66,49.0,Cash,2023,6
TRIP_000035,2023-08-15 10:32:37,2023-08-15 10:43:37,Bronx,Staten Island,6,20.96,56.6,4.79,61.89,Dispute,2023,8
TRIP_000036,2023-03-10 14:32:52,2023-03-10 14:53:52,Manhattan,Queens,2,4.15,17.78,1.36,19.64,No Charge,2023,3
TRIP_000037,2023-10-20 23:52:13,2023-10-21 01:11:13,Queens,Queens,2,12.91,39.39,5.1,44.99,Credit Card,2023,10
TRIP_000038,2023-09-09 21:45:53,2023-09-09 22:53:53,Staten Island,Staten Island,5,13.27,38.34,9.37,48.21,Dispute,2023,9
TRIP_000039,2023-10-18 16:52:09,2023-10-18 17:18:09,Queens,Staten Island,4,8.15,23.5,1.71,25.71,Dispute,2023,10
TRIP_000040,2023-03-22 05:16:57,2023-03-22 05:54:57,Staten Island,Staten Island,5,17.65,50.98,5.32,56.8,Credit Card,2023,3
TRIP_000041,2023-11-11 16:46:41,2023-11-11 17:45:41,Queens,Staten Island,5,8.85,25.14,2.07,27.71,Cash,2023,11
TRIP_000042,2023-11-02 09:47:02,2023-11-02 10:40:02,Queens,Brooklyn,4,7.76,23.89,4.48,28.87,Credit Card,2023,11
TRIP_000043,2023-07-11 23:15:16,2023-07-11 23:52:16,Manhattan,Bronx,4,8.3,24.63,0.21,25.34,Dispute,2023,7
TRIP_000044,2023-04-30 12:40:28,2023-04-30 13:31:28,Staten Island,Manhattan,2,21.45,61.1,11.12,72.72,Credit Card,2023,4
TRIP_000045,2023-07-18 08:05:13,2023-07-18 08:31:13,Queens,Brooklyn,1,6.72,21.83,4.42,26.75,Dispute,2023,7
TRIP_000046,2023-08-07 18:48:14,2023-08-07 19:09:14,Manhattan,Manhattan,6,2.78,12.7,3.78,16.98,Credit Card,2023,8
TRIP_000047,2023-05-02 00:33:15,2023-05-02 01:22:15,Bronx,Bronx,1,0.91,9.65,1.2,11.35,No Charge,2023,5
TRIP_000048,2023-09-03 13:56:10,2023-09-03 14:42:10,Brooklyn,Queens,4,17.59,46.58,13.48,60.56,Credit Card,2023,9
TRIP_000049,2023-10-26 15:40:46,2023-10-26 16:55:46,Manhattan,Brooklyn,4,3.41,14.65,0.25,15.4,Cash,2023,10
TRIP_000050,2023-03-09 00:11:46,2023-03-09 01:24:46,Queens,Brooklyn,5,16.57,45.71,1.45,47.66,Cash,2023,3
TRIP_000051,2023-04-12 17:11:03,2023-04-12 18:13:03,Bronx,Queens,5,22.05,59.59,2.93,63.02,Cash,2023,4
TRIP_000052,2023-12-04 01:25:16,2023-12-04 02:02:16,Staten Island,Manhattan,4,16.23,43.17,8.06,51.73,No Charge,2023,12
TRIP_000053,2023-12-28 01:22:18,2023-12-28 02:20:18,Queens,Bronx,5,1.48,6.53,0.68,7.71,Credit Card,2023,12
TRIP_000054,2023-09-13 11:44:55,2023-09-13 12:54:55,Staten Island,Staten Island,4,5.18,16.62,1.75,18.87,Cash,2023,9
TRIP_000055,2023-08-15 09:12:49,2023-08-15 10:01:49,Bronx,Bronx,3,13.1,37.47,9.97,47.94,Credit Card,2023,8
TRIP_000056,2023-03-05 02:03:26,2023-03-05 02:23:26,Queens,Staten Island,4,18.84,51.68,7.24,59.42,No Charge,2023,3
TRIP_000057,2023-08-08 13:21:42,2023-08-08 14:17:42,Bronx,Queens,3,12.62,34.95,5.55,41.0,Dispute,2023,8
TRIP_000058,2023-07-24 17:07:10,2023-07-24 18:37:10,Queens,Manhattan,6,8.7,28.41,3.54,32.45,No Charge,2023,7
TRIP_000059,2023-09-11 10:11:41,2023-09-11 10:24:41,Queens,Manhattan,6,22.94,60.23,18.03,78.76,Cash,2023,9
TRIP_000060,2023-01-30 18:56:09,2023-01-30 19:51:09,Queens,Staten Island,2,12.77,37.62,8.21,46.33,Cash,2023,1
TRIP_000061,2023-03-20 12:01:35,2023-03-20 13:10:35,Brooklyn,Staten Island,5,6.01,22.11,6.09,28.7,Credit Card,2023,3
TRIP_000062,2023-11-25 19:35:51,2023-11-25 20:56:51,Brooklyn,Bronx,1,9.15,28.08,7.33,35.91,Credit Card,2023,11
TRIP_000063,2023-05-03 08:26:38,2023-05-03 09:22:38,Brooklyn,Manhattan,1,21.84,59.36,0.18,60.04,Cash,2023,5
TRIP_000064,2023-02-14 00:57:32,2023-02-14 01:45:32,Queens,Bronx,2,24.62,67.28,2.74,70.52,Dispute,2023,2
TRIP_000065,2023-03-30 17:34:57,2023-03-30 18:36:57,Manhattan,Manhattan,5,2.53,9.16,1.19,10.85,Credit Card,2023,3
TRIP_000066,2023-07-05 03:43:12,2023-07-05 05:05:12,Manhattan,Bronx,1,3.82,16.19,4.53,21.22,Cash,2023,7
TRIP_000067,2023-07-24 01:37:57,2023-07-24 02:32:57,Bronx,Bronx,4,22.14,62.67,2.46,65.63,Cash,2023,7
TRIP_000068,2023-01-22 10:45:33,2023-01-22 12:01:33,Queens,Bronx,4,5.02,19.14,1.34,20.98,Dispute,2023,1
TRIP_000069,2023-03-05 15:11:49,2023-03-05 15:18:49,Brooklyn,Manhattan,2,9.32,27.13,2.28,29.91,Cash,2023,3
TRIP_000070,2023-05-02 07:04:27,2023-05-02 07:23:27,Staten Island,Queens,1,16.78,46.86,11.59,58.95,Cash,2023,5
TRIP_000071,2023-05-13 23:05:42,2023-05-14 00:14:42,Manhattan,Staten Island,3,19.41,55.38,7.78,63.66,Credit Card,2023,5
TRIP_000072,2023-02-18 22:02:23,2023-02-18 22:50:23,Queens,Bronx,4,8.11,27.56,1.74,29.8,Cash,2023,2
TRIP_000073,2023-01-16 14:22:16,2023-01-16 14:45:16,Brooklyn,Brooklyn,5,8.96,28.89,5.3,34.69,No Charge,2023,1
TRIP_000074,2023-11-19 02:39:37,2023-11-19 03:05:37,Manhattan,Manhattan,2,11.56,31.46,6.86,38.82,Dispute,2023,11
TRIP_000075,2023-12-25 06:22:14,2023-12-25 07:20:14,Queens,Staten Island,1,2.42,12.87,3.37,16.74,No Charge,2023,12
TRIP_000076,2023-01-12 11:17:00,2023-01-12 12:29:00,Staten Island,Bronx,4,17.71,47.97,9.99,58.46,Credit Card,2023,1
TRIP_000077,2023-11-23 03:43:20,2023-11-23 04:35:20,Brooklyn,Manhattan,2,0.87,5.15,1.45,7.1,Cash,2023,11
TRIP_000078,2023-05-03 23:08:23,2023-05-04 00:32:23,Staten Island,Staten Island,3,16.79,47.96,12.53,60.99,No Charge,2023,5
TRIP_000079,2023-02-08 17:06:07,2023-02-08 17:17:07,Brooklyn,Queens,1,13.26,38.79,5.48,44.77,No Charge,2023,2
TRIP_000080,2023-04-11 06:41:51,2023-04-11 06:49:51,Manhattan,Queens,6,21.72,57.73,3.03,61.26,No Charge,2023,4
TRIP_000081,2023-01-22 08:10:47,2023-01-22 08:24:47,Brooklyn,Manhattan,6,10.95,30.1,8.75,39.35,Dispute,2023,1
TRIP_000082,2023-11-22 06:19:27,2023-11-22 07:24:27,Manhattan,Bronx,1,21.67,57.78,1.42,59.7,No Charge,2023,11
TRIP_000083,2023-07-16 09:24:58,2023-07-16 09:32:58,Queens,Brooklyn,2,5.81,20.32,0.74,21.56,No Charge,2023,7
TRIP_000084,2023-02-15 06:18:39,2023-02-15 07:12:39,Manhattan,Staten Island,4,22.09,59.03,0.04,59.57,Credit Card,2023,2
TRIP_000085,2023-11-22 14:10:02,2023-11-22 14:37:02,Manhattan,Brooklyn,6,15.13,43.32,11.8,55.62,Credit Card,2023,11
TRIP_000086,2023-09-07 11:00:25,2023-09-07 12:18:25,Brooklyn,Queens,5,0.85,6.13,0.13,6.76,Dispute,2023,9
TRIP_000087,2023-01-23 02:12:56,2023-01-23 03:30:56,Brooklyn,Brooklyn,3,3.8,12.21,2.21,14.92,Cash,2023,1
TRIP_000088,2023-10-11 10:20:53,2023-10-11 11:01:53,Manhattan,Brooklyn,6,13.63,36.87,3.71,41.08,Dispute,2023,10
TRIP_000089,2023-02-15 17:15:07,2023-02-15 18:31:07,Staten Island,Brooklyn,6,18.18,51.68,3.37,55.55,Credit Card,2023,2
TRIP_000090,2023-10-14 08:14:49,2023-10-14 09:27:49,Staten Island,Manhattan,3,3.42,12.41,2.24,15.15,Dispute,2023,10
TRIP_000091,2023-03-02 08:05:01,2023-03-02 08:44:01,Brooklyn,Staten Island,1,19.49,54.62,1.41,56.53,Dispute,2023,3
TRIP_000092,2023-01-28 17:25:53,2023-01-28 17:48:53,Bronx,Bronx,5,22.56,60.62,1.8,62.92,No Charge,2023,1
TRIP_000093,2023-06-02 02:22:29,2023-06-02 03:38:29,Brooklyn,Brooklyn,3,11.61,34.77,5.08,40.35,Cash,2023,6
TRIP_000094,2023-09-19 15:59:21,2023-09-19 17:17:21,Bronx,Staten Island,4,7.71,24.33,2.54,27.37,Dispute,2023,9
TRIP_000095,2023-06-06 07:56:29,2023-06-06 08:57:29,Staten Island,Queens,2,11.53,36.26,8.76,45.52,Dispute,2023,6
TRIP_000096,2023-06-01 14:02:07,2023-06-01 15:03:07,Queens,Queens,1,12.59,36.12,10.17,46.79,Dispute,2023,6
TRIP_000097,2023-04-20 00:15:28,2023-04-20 00:56:28,Staten Island,Queens,3,2.48,8.95,2.41,11.86,Cash,2023,4
TRIP_000098,2023-11-20 02:49:21,2023-11-20 03:15:21,Bronx,Staten Island,1,1.45,9.78,2.23,12.51,Cash,2023,11
TRIP_000099,2023-10-17 11:25:21,2023-10-17 12:42:21,Manhattan,Queens,4,14.34,42.29,9.89,52.68,Cash,2023,10
TRIP_000100,2023-07-13 00:10:45,2023-07-13 00:30:45,Brooklyn,Staten Island,5,14.05,40.65,10.02,51.17,Cash,2023,7
TRIP_000101,2023-07-26 15:33:08,2023-07-26 15:36:08,Brooklyn,Bronx,2,6.09,22.26,1.75,24.51,No Charge,2023,7
TRIP_000102,2023-02-07 03:22:59,2023-02-07 04:16:59,Staten Island,Queens,3,13.4,38.16,4.98,43.64,Dispute,2023,2
TRIP_000103,2023-07-25 01:41:53,2023-07-25 02:45:53,Staten Island,Manhattan,3,13.46,37.3,4.28,42.08,Cash,2023,7
TRIP_000104,2023-06-11 02:19:53,2023-06-11 03:34:53,Brooklyn,Queens,5,6.02,19.95,5.37,25.82,No Charge,2023,6
TRIP_000105,2023-10-11 19:05:57,2023-10-11 19:33:57,Staten Island,Bronx,4,6.82,22.11,5.67,28.28,Credit Card,2023,10
TRIP_000106,2023-08-15 09:02:07,2023-08-15 09:34:07,Manhattan,Staten Island,1,13.38,36.56,9.69,46.75,Credit Card,2023,8
TRIP_000107,2023-05-01 08:13:47,2023-05-01 08:27:47,Staten Island,Manhattan,6,13.19,40.21,0.41,41.12,Dispute,2023,5
TRIP_000108,2023-03-02 20:43:45,2023-03-02 21:02:45,Brooklyn,Manhattan,1,9.88,28.56,4.24,33.3,Cash,2023,3
TRIP_000109,2023-10-28 21:44:29,2023-10-28 22:21:29,Manhattan,Brooklyn,5,11.68,33.58,6.59,40.67,No Charge,2023,10
TRIP_000110,2023-07-02 16:30:00,2023-07-02 16:34:00,Manhattan,Queens,6,9.37,30.23,7.82,38.55,Credit Card,2023,7
TRIP_000111,2023-04-30 01:50:28,2023-04-30 02:48:28,Bronx,Brooklyn,5,8.17,27.4,5.48,33.38,Cash,2023,4
TRIP_000112,2023-09-26 20:16:33,2023-09-26 21:07:33,Manhattan,Manhattan,3,12.87,39.04,7.55,47.09,Cash,2023,9
TRIP_000113,2023-01-30 14:42:45,2023-01-30 15:12:45,Queens,Queens,5,7.66,22.88,6.26,29.64,No Charge,2023,1
TRIP_000114,2023-02-01 01:07:13,2023-02-01 01:45:13,Queens,Brooklyn,2,1.65,10.35,2.1,12.95,Cash,2023,2
TRIP_000115,2023-02-09 18:16:42,2023-02-09 19:17:42,Queens,Bronx,2,24.77,65.62,7.46,73.58,Credit Card,2023,2
TRIP_000116,2023-05-15 03:15:33,2023-05-15 03:58:33,Bronx,Bronx,6,3.14,12.94,1.82,15.26,Credit Card,2023,5
TRIP_000117,2023-06-30 19:56:29,2023-06-30 21:05:29,Brooklyn,Staten Island,3,17.02,45.91,2.35,48.76,Credit Card,2023,6
TRIP_000118,2023-11-29 06:55:21,2023-11-29 08:21:21,Brooklyn,Queens,6,3.61,12.94,1.3,14.74,Dispute,2023,11
TRIP_000119,2023-06-04 21:38:26,2023-06-04 22:26:26,Queens,Bronx,5,4.58,18.66,2.25,21.41,Credit Card,2023,6
TRIP_000120,2023-08-02 09:17:57,2023-08-02 10:03:57,Manhattan,Queens,3,10.04,30.12,4.35,34.97,Credit Card,2023,8
TRIP_000121,2023-01-27 05:54:46,2023-01-27 06:49:46,Brooklyn,Staten Island,4,7.25,22.03,0.81,23.34,No Charge,2023,1
TRIP_000122,2023-12-03 11:06:08,2023-12-03 12:18:08,Manhattan,Queens,2,11.69,33.27,4.64,38.41,Cash,2023,12
TRIP_000123,2023-04-12 04:41:59,2023-04-12 05:19:59,Brooklyn,Bronx,6,17.87,51.34,1.04,52.88,No Charge,2023,4
TRIP_000124,2023-03-23 04:10:41,2023-03-23 04:45:41,Queens,Staten Island,1,5.45,16.47,1.76,18.73,No Charge,2023,3
TRIP_000125,2023-05-31 23:40:02,2023-06-01 00:52:02,Bronx,Queens,3,15.53,44.52,5.57,50.59,Credit Card,2023,5
TRIP_000126,2023-02-19 13:47:07,2023-02-19 14:44:07,Manhattan,Staten Island,4,22.29,60.43,2.86,63.79,Dispute,2023,2
TRIP_000127,2023-08-01 00:48:31,2023-08-01 01:53:31,Staten Island,Brooklyn,5,12.03,34.28,6.84,41.62,Cash,2023,8
TRIP_000128,2023-03-05 21:23:27,2023-03-05 21:51:27,Bronx,Queens,6,5.53,17.88,5.27,23.65,No Charge,2023,3
TRIP_000129,2023-12-26 07:16:58,2023-12-26 07:23:58,Staten Island,Queens,5,6.81,20.92,1.01,22.43,Dispute,2023,12
TRIP_000130,2023-03-05 09:01:52,2023-03-05 09:47:52,Bronx,Staten Island,4,5.47,19.58,4.76,24.84,Dispute,2023,3
TRIP_000131,2023-06-05 18:15:45,2023-06-05 18:47:45,Queens,Queens,5,4.56,17.92,1.57,19.99,Dispute,2023,6
TRIP_000132,2023-03-07 17:17:34,2023-03-07 18:15:34,Brooklyn,Staten Island,6,5.25,19.36,5.69,25.55,Cash,2023,3
TRIP_000133,2023-08-31 12:27:43,2023-08-31 12:55:43,Manhattan,Bronx,1,13.9,37.39,9.63,47.52,Cash,2023,8
TRIP_000134,2023-05-25 05:59:12,2023-05-25 06:14:12,Queens,Bronx,5,8.88,26.09,4.6,31.19,Dispute,2023,5
TRIP_000135,2023-12-01 02:37:29,2023-12-01 03:25:29,Bronx,Staten Island,6,15.39,42.93,7.63,51.06,No Charge,2023,12
TRIP_000136,2023-05-13 01:52:12,2023-05-13 02:50:12,Brooklyn,Brooklyn,5,4.28,16.0,3.85,20.35,Cash,2023,5
TRIP_000137,2023-10-13 15:37:10,2023-10-13 17:04:10,Manhattan,Staten Island,5,2.48,10.91,1.38,12.79,Cash,2023,10
TRIP_000138,2023-09-10 21:08:43,2023-09-10 22:32:43,Brooklyn,Bronx,3,2.75,10.75,0.3,11.55,Credit Card,2023,9
TRIP_000139,2023-12-15 08:14:47,2023-12-15 08:54:47,Staten Island,Manhattan,5,16.39,43.62,0.14,44.26,Credit Card,2023,12
TRIP_000140,2023-10-20 10:29:07,2023-10-20 11:12:07,Queens,Queens,5,19.35,54.75,12.25,67.5,Credit Card,2023,10
TRIP_000141,2023-12-07 00:33:01,2023-12-07 00:48:01,Staten Island,Manhattan,6,21.34,55.93,0.92,57.35,No Charge,2023,12
TRIP_000142,2023-08-25 21:26:01,2023-08-25 21:51:01,Queens,Queens,6,17.47,46.99,3.06,50.55,No Charge,2023,8
TRIP_000143,2023-06-26 11:08:21,2023-06-26 11:20:21,Staten Island,Bronx,6,12.65,36.58,3.83,40.91,Cash,2023,6
TRIP_000144,2023-03-03 13:41:36,2023-03-03 14:15:36,Brooklyn,Bronx,6,20.15,52.88,11.2,64.58,No Charge,2023,3
TRIP_000145,2023-03-28 13:12:44,2023-03-28 13:48:44,Brooklyn,Queens,2,21.39,60.02,6.46,66.98,Dispute,2023,3
TRIP_000146,2023-11-11 09:05:47,2023-11-11 09:35:47,Staten Island,Queens,1,22.84,59.66,5.27,65.43,Cash,2023,11
TRIP_000147,2023-11-30 06:30:07,2023-11-30 07:22:07,Queens,Brooklyn,6,22.02,58.16,12.24,70.9,Credit Card,2023,11
TRIP_000148,2023-09-12 23:46:04,2023-09-12 23:51:04,Manhattan,Staten Island,2,12.18,33.27,0.3,34.07,Dispute,2023,9
TRIP_000149,2023-10-16 05:37:33,2023-10-16 05:52:33,Brooklyn,Brooklyn,6,21.65,60.56,4.29,65.35,No Charge,2023,10
TRIP_000150,2023-09-27 03:21:18,2023-09-27 04:32:18,Staten Island,Brooklyn,4,3.21,12.6,3.44,16.54,Credit Card,2023,9
TRIP_000151,2023-12-13 00:42:21,2023-12-13 02:09:21,Brooklyn,Brooklyn,2,24.04,63.46,0.67,64.63,Cash,2023,12
TRIP_000152,2023-11-03 21:35:55,2023-11-03 22:17:55,Queens,Queens,4,3.63,15.62,4.28,20.4,No Charge,2023,11
TRIP_000153,2023-07-03 14:28:41,2023-07-03 15:16:41,Brooklyn,Brooklyn,6,15.79,45.64,10.37,56.51,Dispute,2023,7
TRIP_000154,2023-11-30 19:53:47,2023-11-30 20:24:47,Manhattan,Manhattan,5,8.32,23.32,6.96,30.78,No Charge,2023,11
TRIP_000155,2023-02-20 17:59:22,2023-02-20 19:22:22,Bronx,Manhattan,2,16.46,47.47,10.75,58.72,No Charge,2023,2
TRIP_000156,2023-12-30 10:27:19,2023-12-30 11:22:19,Queens,Brooklyn,2,8.4,26.73,3.68,30.91,No Charge,2023,12
TRIP_000157,2023-08-30 18:00:22,2023-08-30 18:20:22,Staten Island,Queens,5,8.26,26.37,0.92,27.79,Dispute,2023,8
TRIP_000158,2023-07-07 21:59:49,2023-07-07 22:08:49,Queens,Queens,2,17.77,48.68,2.19,51.37,Credit Card,2023,7
TRIP_000159,2023-11-07 13:46:33,2023-11-07 15:10:33,Queens,Staten Island,2,1.01,6.7,1.24,8.44,Credit Card,2023,11
TRIP_000160,2023-12-21 22:26:08,2023-12-21 23:15:08,Manhattan,Brooklyn,2,16.88,45.73,11.06,57.29,Credit Card,2023,12
TRIP_000161,2023-09-06 13:23:34,2023-09-06 14:23:34,Staten Island,Brooklyn,2,20.94,56.22,15.27,71.99,Dispute,2023,9
TRIP_000162,2023-02-20 17:53:20,2023-02-20 18:18:20,Brooklyn,Brooklyn,6,10.28,30.55,3.89,34.94,Dispute,2023,2
TRIP_000163,2023-09-01 18:39:05,2023-09-01 19:44:05,Brooklyn,Brooklyn,4,14.31,42.0,2.74,45.24,Dispute,2023,9
TRIP_000164,2023-02-08 00:02:58,2023-02-08 00:31:58,Bronx,Brooklyn,6,23.65,65.03,5.07,70.6,No Charge,2023,2
TRIP_000165,2023-02-18 04:15:37,2023-02-18 05:42:37,Bronx,Brooklyn,4,1.59,9.72,1.26,11.48,Credit Card,2023,2
TRIP_000166,2023-03-14 08:58:54,2023-03-14 09:21:54,Staten Island,Queens,6,15.78,46.44,3.82,50.76,No Charge,2023,3
TRIP_000167,2023-04-08 06:29:32,2023-04-08 06:45:32,Manhattan,Bronx,2,14.25,38.57,1.06,40.13,No Charge,2023,4
TRIP_000168,2023-04-12 02:53:35,2023-04-12 04:07:35,Brooklyn,Bronx,4,15.45,45.97,3.37,49.84,Dispute,2023,4
TRIP_000169,2023-09-28 22:01:06,2023-09-28 22:57:06,Bronx,Queens,2,14.76,43.66,4.59,48.75,Cash,2023,9
TRIP_000170,2023-10-30 19:16:43,2023-10-30 19:53:43,Queens,Staten Island,1,7.48,24.15,5.29,29.94,No Charge,2023,10
TRIP_000171,2023-02-20 11:22:03,2023-02-20 11:28:03,Bronx,Bronx,1,22.83,59.8,16.99,77.29,Cash,2023,2
TRIP_000172,2023-10-18 08:02:00,2023-10-18 08:52:00,Queens,Brooklyn,1,11.59,31.56,6.89,38.95,No Charge,2023,10
TRIP_000173,2023-01-28 03:05:44,2023-01-28 04:31:44,Staten Island,Staten Island,3,3.83,12.72,0.09,13.31,No Charge,2023,1
TRIP_000174,2023-07-22 20:40:17,2023-07-22 20:56:17,Manhattan,Staten Island,4,17.03,47.06,5.57,53.13,No Charge,2023,7
TRIP_000175,2023-10-09 04:19:46,2023-10-09 04:22:46,Manhattan,Bronx,4,7.2,22.03,5.14,27.67,Cash,2023,10
TRIP_000176,2023-09-04 10:07:08,2023-09-04 11:22:08,Brooklyn,Staten Island,5,17.24,47.6,10.7,58.8,No Charge,2023,9
TRIP_000177,2023-02-08 10:49:17,2023-02-08 12:18:17,Staten Island,Staten Island,5,11.79,33.86,3.59,37.95,Credit Card,2023,2
TRIP_000178,2023-09-22 07:29:51,2023-09-22 07:54:51,Manhattan,Bronx,3,21.79,60.56,17.04,78.1,No Charge,2023,9
TRIP_000179,2023-09-05 12:59:01,2023-09-05 13:59:01,Staten Island,Bronx,5,17.26,46.95,13.43,60.88,Cash,2023,9
TRIP_000180,2023-05-29 17:30:32,2023-05-29 18:00:32,Staten Island,Queens,2,6.44,22.93,1.72,25.15,Cash,2023,5
TRIP_000181,2023-12-25 10:28:53,2023-12-25 11:21:53,Bronx,Brooklyn,2,13.77,40.26,4.43,45.19,Credit Card,2023,12
TRIP_000182,2023-03-31 03:05:30,2023-03-31 03:12:30,Bronx,Bronx,6,16.86,47.51,5.05,53.06,Credit Card,2023,3
TRIP_000183,2023-01-25 12:25:53,2023-01-25 13:43:53,Bronx,Staten Island,3,19.6,54.03,3.64,58.17,Cash,2023,1
TRIP_000184,2023-04-08 19:30:26,2023-04-08 20:36:26,Brooklyn,Staten Island,1,17.36,47.27,12.12,59.89,No Charge,2023,4
TRIP_000185,2023-09-11 13:28:58,2023-09-11 14:00:58,Manhattan,Brooklyn,3,10.13,31.56,1.19,33.25,No Charge,2023,9
TRIP_000186,2023-06-22 05:03:17,2023-06-22 06:12:17,Queens,Staten Island,3,14.23,41.18,4.62,46.3,Cash,2023,6
TRIP_000187,2023-12-24 21:39:03,2023-12-24 22:56:03,Brooklyn,Manhattan,4,6.27,18.4,0.81,19.71,Dispute,2023,12
TRIP_000188,2023-09-18 10:02:34,2023-09-18 10:14:34,Staten Island,Brooklyn,5,19.96,52.49,3.54,56.53,Credit Card,2023,9
TRIP_000189,2023-09-12 17:13:56,2023-09-12 17:53:56,Queens,Bronx,5,4.78,15.66,2.54,18.7,No Charge,2023,9
